pv_to_house,pv_to_bat,bat_to_house,grid_to_house,pv_to_grid,pv_to_bat_grid_wasted,to_house_wasted,power,load,soc,cost,profit,spot,datetime,battery_capacity,deltaSOH_cyclic,deltaSOH_float,battery_deltaSOH,battery_usage_cost,aging_factor_cyclic,aging_factor_float,battery_aging_factor
0.0,0.0,0.0,9.369999885559082,0.0,0.0,0.0,0.0,9.37,0.0,1.2241192730491637,0.0,5.826,2021-01-08 00:00:00,13.410400099316076,0.0,3.930688308173558e-06,3.930688308173558e-06,0.03537619486451149,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.059999942779541,0.0,0.0,0.0,0.0,2.06,0.0,0.2505528490404129,0.0,5.099,2021-01-08 01:00:00,13.410389708128331,0.0,3.930684670194751e-06,3.930684670194751e-06,0.035376161336898804,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.0199999809265137,0.0,0.0,0.0,0.0,2.02,0.0,0.24147968571987158,0.0,4.931,2021-01-08 02:00:00,13.410379316948639,0.0,3.930681941710645e-06,3.930681941710645e-06,0.03537613898515701,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.0199999809265137,0.0,0.0,0.0,0.0,2.02,0.0,0.23664542176551823,0.0,4.738,2021-01-08 03:00:00,13.410368925776996,0.0,3.93067921322654e-06,3.93067921322654e-06,0.035376112908124924,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.7699999809265137,0.0,0.0,0.0,0.0,1.77,0.0,0.20384594180336002,0.0,4.578,2021-01-08 04:00:00,13.410358534613406,0.0,3.930675575247733e-06,3.930675575247733e-06,0.03537607938051224,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.7099999785423279,0.0,0.0,0.0,0.0,0.71,0.0,0.08065060156257152,0.0,4.451,2021-01-08 05:00:00,13.410348143457869,0.0,3.930672846763628e-06,3.930672846763628e-06,0.03537605702877045,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.9900000095367432,0.0,0.0,0.0,0.0,0.99,0.0,0.11390504509725571,0.0,4.569,2021-01-08 06:00:00,13.410337752310383,0.0,3.930669663532171e-06,3.930669663532171e-06,0.03537602722644806,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.8700000047683716,0.0,0.0,0.0,0.0,0.87,0.0,0.10510400457606314,0.0,5.0329999999999995,2021-01-08 07:00:00,13.410327361170948,0.0,3.930666480300715e-06,3.930666480300715e-06,0.03537599742412567,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.440000057220459,0.0,0.0,0.0,0.0,1.44,0.0,0.1907141835783005,0.0,5.971,2021-01-08 08:00:00,13.410316970039565,0.0,3.93066375181661e-06,3.93066375181661e-06,0.03537597507238388,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.2100000381469727,0.0,0.0,0.0,0.0,1.21,0.0,0.19003582999114993,0.0,7.956,2021-01-08 09:00:00,13.410306578916234,0.0,3.930660568585154e-06,3.930660568585154e-06,0.03537594527006149,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.9300000071525574,0.0,0.0,0.0,0.0,0.93,0.0,0.17371432933602335,0.0,10.354000000000001,2021-01-08 10:00:00,13.410296187800954,0.0,3.930657840101048e-06,3.930657840101048e-06,0.035375919193029404,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.8600000143051147,0.0,0.0,0.0,0.0,0.86,0.0,0.165181922747612,0.0,10.78,2021-01-08 11:00:00,13.410285796693726,0.0,3.930654656869592e-06,3.930654656869592e-06,0.035375893115997314,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.1699999570846558,0.0,0.0,0.0,0.0,1.17,0.0,0.2240278477827072,0.0,10.732,2021-01-08 12:00:00,13.41027540559455,0.0,3.930651473638136e-06,3.930651473638136e-06,0.03537586331367493,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.9399999976158142,0.0,0.0,0.0,0.0,0.94,0.0,0.1764214555525303,0.0,10.426,2021-01-08 13:00:00,13.410265014503425,0.0,3.93064829040668e-06,3.93064829040668e-06,0.03537583351135254,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.8799999952316284,0.0,0.0,0.0,0.0,0.88,0.0,0.1604137911307812,0.0,9.991,2021-01-08 14:00:00,13.410254623420352,0.0,3.930645561922574e-06,3.930645561922574e-06,0.03537581115961075,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.8299999833106995,0.0,0.0,0.0,0.0,0.83,0.0,0.14652388105375766,0.0,9.527,2021-01-08 15:00:00,13.410244232345331,0.0,3.930642378691118e-06,3.930642378691118e-06,0.03537578135728836,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.800000011920929,0.0,0.0,0.0,0.0,0.8,0.0,0.13869824206676484,0.0,9.272,2021-01-08 16:00:00,13.41023384127836,0.0,3.930639195459662e-06,3.930639195459662e-06,0.03537575155496597,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.8500000238418579,0.0,0.0,0.0,0.0,0.85,0.0,0.1502126842133522,0.0,9.542,2021-01-08 17:00:00,13.410223450219442,0.0,3.930636466975557e-06,3.930636466975557e-06,0.03537572920322418,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,4.28000020980835,0.0,0.0,0.0,0.0,4.28,0.0,0.7541360369682313,0.0,9.5,2021-01-08 18:00:00,13.410213059168576,0.0,3.930633738491451e-06,3.930633738491451e-06,0.03537570312619209,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,12.869999885559082,0.0,0.0,0.0,0.0,12.87,0.0,2.507075977706909,0.0,11.0,2021-01-08 19:00:00,13.410202668125761,0.0,3.930630100512644e-06,3.930630100512644e-06,0.03537566959857941,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,13.510000228881836,0.0,0.0,0.0,0.0,13.51,0.0,2.4633864217338566,0.0,9.995000000000001,2021-01-08 20:00:00,13.410192277090998,0.0,3.930627372028539e-06,3.930627372028539e-06,0.035375647246837616,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,10.979999542236328,0.0,0.0,0.0,0.0,10.98,0.0,1.7320817517883302,0.0,8.012,2021-01-08 21:00:00,13.410181886064287,0.0,3.930624188797083e-06,3.930624188797083e-06,0.03537561744451523,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.9200000166893005,0.0,0.0,0.0,0.0,0.92,0.0,0.1238643862469673,0.0,6.148,2021-01-08 22:00:00,13.410171495045626,0.0,3.9306210055656265e-06,3.9306210055656265e-06,0.03537558764219284,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.949999988079071,0.0,0.0,0.0,0.0,0.95,0.0,0.12548853842532634,0.0,5.943,2021-01-08 23:00:00,13.410161104035017,0.0,3.93061782233417e-06,3.93061782233417e-06,0.03537556156516075,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.159999966621399,0.0,0.0,0.0,0.0,1.16,0.0,0.14861084372377398,0.0,5.622,2021-01-09 00:00:00,13.410150713032461,0.0,3.930614639102714e-06,3.930614639102714e-06,0.035375531762838364,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.7200000286102295,0.0,0.0,0.0,0.0,0.72,0.0,0.08711654746170046,0.0,5.048,2021-01-09 01:00:00,13.410140322037956,0.0,3.930611910618609e-06,3.930611910618609e-06,0.035375505685806274,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,3.559999942779541,0.0,0.0,0.0,0.0,3.56,0.0,0.4179411452823639,0.0,4.758,2021-01-09 02:00:00,13.410129931051502,0.0,3.930608727387153e-06,3.930608727387153e-06,0.035375479608774185,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,9.84000015258789,0.0,0.0,0.0,0.0,9.84,0.0,1.1486192818115233,0.0,4.704,2021-01-09 03:00:00,13.4101195400731,0.0,3.930605998903047e-06,3.930605998903047e-06,0.035375453531742096,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.819999933242798,0.0,0.0,0.0,0.0,2.82,0.0,0.32721925625381465,0.0,4.648,2021-01-09 04:00:00,13.41010914910275,0.0,3.930602815671591e-06,3.930602815671591e-06,0.03537542372941971,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.699999988079071,0.0,0.0,0.0,0.0,0.7,0.0,0.0822575585991621,0.0,4.767,2021-01-09 05:00:00,13.410098758140451,0.0,3.930600087187486e-06,3.930600087187486e-06,0.03537540137767792,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.800000011920929,0.0,0.0,0.0,0.0,0.8,0.0,0.09437568140630724,0.0,4.804,2021-01-09 06:00:00,13.410088367186203,0.0,3.9305969039560296e-06,3.9305969039560296e-06,0.03537537157535553,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.7200000286102295,0.0,0.0,0.0,0.0,0.72,0.0,0.08469705936555863,0.0,4.777,2021-01-09 07:00:00,13.410077976240007,0.0,3.930593720724573e-06,3.930593720724573e-06,0.03537534177303314,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.149999976158142,0.0,0.0,0.0,0.0,1.15,0.0,0.13597875718088148,0.0,4.826,2021-01-09 08:00:00,13.410067585301864,0.0,3.930590537493117e-06,3.930590537493117e-06,0.03537531569600105,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.8700000047683716,0.0,0.0,0.0,0.0,0.87,0.0,0.10707820858688354,0.0,5.215999999999999,2021-01-09 09:00:00,13.41005719437177,0.0,3.930587354261661e-06,3.930587354261661e-06,0.035375285893678665,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.8600000143051147,0.0,0.0,0.0,0.0,0.86,0.0,0.11219250586619378,0.0,5.811,2021-01-09 10:00:00,13.41004680344973,0.0,3.930584625777556e-06,3.930584625777556e-06,0.035375259816646576,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.340000033378601,0.0,0.0,0.0,0.0,1.34,0.0,0.18572829262638094,0.0,6.468000000000001,2021-01-09 11:00:00,13.410036412535739,0.0,3.9305814425460994e-06,3.9305814425460994e-06,0.03537523373961449,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.4800000190734863,0.0,0.0,0.0,0.0,1.48,0.0,0.20683947466564181,0.0,6.561,2021-01-09 12:00:00,13.4100260216298,0.0,3.930578259314643e-06,3.930578259314643e-06,0.0353752039372921,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.059999942779541,0.0,0.0,0.0,0.0,2.06,0.0,0.2886134079832077,0.0,6.589,2021-01-09 13:00:00,13.410015630731914,0.0,3.930575530830538e-06,3.930575530830538e-06,0.03537518158555031,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.850000023841858,0.0,0.0,0.0,0.0,1.85,0.0,0.25708118331313135,0.0,6.497,2021-01-09 14:00:00,13.410005239842079,0.0,3.930572347599082e-06,3.930572347599082e-06,0.03537515178322792,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.9199999570846558,0.0,0.0,0.0,0.0,1.92,0.0,0.256285434271574,0.0,6.055,2021-01-09 15:00:00,13.409994848960295,0.0,3.9305691643676255e-06,3.9305691643676255e-06,0.03537512198090553,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.7099999785423279,0.0,0.0,0.0,0.0,0.71,0.0,0.09265045319991111,0.0,5.814,2021-01-09 16:00:00,13.409984458086562,0.0,3.93056643588352e-06,3.93056643588352e-06,0.03537509962916374,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.7900000214576721,0.0,0.0,0.0,0.0,0.79,0.0,0.10491200284957886,0.0,6.0,2021-01-09 17:00:00,13.409974067220881,0.0,3.930563252652064e-06,3.930563252652064e-06,0.035375069826841354,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.8300000429153442,0.0,0.0,0.0,0.0,1.83,0.0,0.2493323818470955,0.0,6.2780000000000005,2021-01-09 18:00:00,13.409963676363253,0.0,3.930560069420608e-06,3.930560069420608e-06,0.03537504002451897,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.4100000858306885,0.0,0.0,0.0,0.0,2.41,0.0,0.3496929404541016,0.0,6.992,2021-01-09 19:00:00,13.409953285513675,0.0,3.9305568861891516e-06,3.9305568861891516e-06,0.03537501022219658,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.2699999809265137,0.0,0.0,0.0,0.0,2.27,0.0,0.3287314092378616,0.0,6.968999999999999,2021-01-09 20:00:00,13.409942894672149,0.0,3.930554157705046e-06,3.930554157705046e-06,0.03537498787045479,0.0,3.956950422434602e-06,3.956950422434602e-06
